,D1,D2,D3
T0320,30,30,30
T0321,30,30,30
T0322,30,30,30
T0323,30,30,30
T0324,30,30,30
T0325,30,30,30
T0326,30,30,30
T0327,30,30,30
T0328,30,30,30
T0329,30,30,30
T0330,30,30,30
T0331,30,30,30
T0332,30,30,30
T0333,30,30,30
T0334,30,30,30
T0335,30,30,30
T0336,30,30,30
T0337,30,30,30
T0338,30,30,30
T0339,30,30,30
T0340,30,30,30
T0341,30,30,30
T0342,30,30,30
T0343,30,30,30
T0344,30,30,30
T0345,30,30,30
T0346,30,30,30
T0347,30,30,30
T0348,30,30,30
T0349,30,30,30
T0350,30,30,30
T0351,30,30,30
T0352,30,30,30
T0353,30,30,30
T0354,30,30,30
T0355,30,30,30
T0356,30,30,30
T0357,30,30,30
T0358,30,30,30
T0359,30,30,30
T0360,30,30,30
T0361,30,30,30
T0362,30,30,30
T0363,30,30,30
T0364,30,30,30
T0365,30,30,30
T0366,30,30,30
T0367,30,30,30
T0368,30,30,30
T0369,30,30,30
T0370,30,30,30
T0371,30,30,30
T0372,30,30,30
T0373,30,30,30
T0374,30,30,30
T0375,30,30,30
T0376,30,30,30
T0377,30,30,30
T0378,30,30,30
T0379,30,30,30
T0380,30,30,30
T0381,30,30,30
T0382,30,30,30
T0383,30,30,30
T0384,30,30,30
T0385,30,30,30
T0386,30,30,30
T0387,30,30,30
T0388,30,30,30
T0389,30,30,30
T0390,30,30,30
T0391,30,30,30
T0392,30,30,30
T0393,30,30,30
T0394,30,30,30
T0395,30,30,30
T0396,30,30,30
T0397,30,30,30
T0398,30,30,30
T0399,30,30,30
T0400,30,30,30
T0401,30,30,30
T0402,30,30,30
T0403,30,30,30
T0404,30,30,30
T0405,30,30,30
T0406,30,30,30
T0407,30,30,30
T0408,30,30,30
T0409,30,30,30
T0410,30,30,30
T0411,30,30,30
T0412,30,30,30
T0413,30,30,30
T0414,30,30,30
T0415,30,30,30
T0416,30,30,30
T0417,30,30,30
T0418,30,30,30
T0419,30,30,30
T0420,30,30,30
T0421,30,30,30
T0422,30,30,30
T0423,30,30,30
T0424,30,30,30
T0425,30,30,30
T0426,30,30,30
T0427,30,30,30
T0428,30,30,30
T0429,30,30,30
T0430,30,30,30
T0431,30,30,30
T0432,30,30,30
T0433,30,30,30
T0434,30,30,30
T0435,30,30,30
T0436,30,30,30
T0437,30,30,30
T0438,30,30,30
T0439,30,30,30
T0440,30,30,30
T0441,30,30,30
T0442,30,30,30
T0443,30,30,30
T0444,30,30,30
T0445,30,30,30
T0446,30,30,30
T0447,30,30,30
T0448,30,30,30
T0449,30,30,30
T0450,30,30,30
T0451,30,30,30
T0452,30,30,30
T0453,30,30,30
T0454,30,30,30
T0455,30,30,30
T0456,30,30,30
T0457,30,30,30
T0458,30,30,30
T0459,30,30,30
T0460,30,30,30
T0461,30,30,30
T0462,30,30,30
T0463,30,30,30
T0464,30,30,30
T0465,30,30,30
T0466,30,30,30
T0467,30,30,30
T0468,30,30,30
T0469,30,30,30
T0470,30,30,30
T0471,30,30,30
T0472,30,30,30
T0473,30,30,30
T0474,30,30,30
T0475,30,30,30
T0476,30,30,30
T0477,30,30,30
T0478,30,30,30
T0479,30,30,30
T0480,30,30,30
T0481,30,30,30
T0482,30,30,30
T0483,30,30,30
T0484,30,30,30
T0485,30,30,30
T0486,30,30,30
T0487,30,30,30
T0488,30,30,30
T0489,30,30,30
T0490,30,30,30
T0491,30,30,30
T0492,30,30,30
T0493,30,30,30
T0494,30,30,30
T0495,30,30,30
T0496,30,30,30
T0497,30,30,30
T0498,30,30,30
T0499,30,30,30
T0500,30,30,30
T0501,30,30,30
T0502,30,30,30
T0503,30,30,30
T0504,30,30,30
T0505,30,30,30
T0506,30,30,30
T0507,30,30,30
T0508,30,30,30
T0509,30,30,30
T0510,30,30,30
T0511,30,30,30
T0512,30,30,30
T0513,30,30,30
T0514,30,30,30
T0515,30,30,30
T0516,30,30,30
T0517,30,30,30
T0518,30,30,30
T0519,30,30,30
T0520,30,30,30
T0521,30,30,30
T0522,30,30,30
T0523,30,30,30
T0524,30,30,30
T0525,30,30,30
T0526,30,30,30
T0527,30,30,30
T0528,30,30,30
T0529,30,30,30
T0530,30,30,30
T0531,30,30,30
T0532,30,30,30
T0533,30,30,30
T0534,30,30,30
T0535,30,30,30
T0536,30,30,30
T0537,30,30,30
T0538,30,30,30
T0539,30,30,30
T0540,30,30,30
T0541,30,30,30
T0542,30,30,30
T0543,30,30,30
T0544,30,30,30
T0545,30,30,30
T0546,30,30,30
T0547,30,30,30
T0548,30,30,30
T0549,30,30,30
T0550,30,30,30
T0551,30,30,30
T0552,30,30,30
T0553,30,30,30
T0554,30,30,30
T0555,30,30,30
T0556,30,30,30
T0557,30,30,30
T0558,30,30,30
T0559,30,30,30
T0560,30,30,30
T0561,30,30,30
T0562,30,30,30
T0563,30,30,30
T0564,30,30,30
T0565,30,30,30
T0566,30,30,30
T0567,30,30,30
T0568,30,30,30
T0569,30,30,30
T0570,30,30,30
T0571,30,30,30
T0572,30,30,30
T0573,30,30,30
T0574,30,30,30
T0575,30,30,30
T0576,30,30,30
T0577,30,30,30
T0578,30,30,30
T0579,30,30,30
T0580,30,30,30
T0581,30,30,30
T0582,30,30,30
T0583,30,30,30
T0584,30,30,30
T0585,30,30,30
T0586,30,30,30
T0587,30,30,30
T0588,30,30,30
T0589,30,30,30
T0590,30,30,30
T0591,30,30,30
T0592,30,30,30
T0593,30,30,30
T0594,30,30,30
T0595,30,30,30
T0596,30,30,30
T0597,30,30,30
T0598,30,30,30
T0599,30,30,30
T0600,30,30,30
T0601,30,30,30
T0602,30,30,30
T0603,30,30,30
T0604,30,30,30
T0605,30,30,30
T0606,30,30,30
T0607,30,30,30
T0608,30,30,30
T0609,30,30,30
T0610,30,30,30
T0611,30,30,30
T0612,30,30,30
T0613,30,30,30
T0614,30,30,30
T0615,30,30,30
T0616,30,30,30
T0617,30,30,30
T0618,30,30,30
T0619,30,30,30
T0620,30,30,30
T0621,30,30,30
T0622,30,30,30
T0623,30,30,30
T0624,30,30,30
T0625,30,30,30
T0626,30,30,30
T0627,30,30,30
T0628,30,30,30
T0629,30,30,30
T0630,30,30,30
T0631,30,30,30
T0632,30,30,30
T0633,30,30,30
T0634,30,30,30
T0635,30,30,30
T0636,30,30,30
T0637,30,30,30
T0638,30,30,30
T0639,30,30,30
T0640,30,30,30
T0641,30,30,30
T0642,30,30,30
T0643,30,30,30
T0644,30,30,30
T0645,30,30,30
T0646,30,30,30
T0647,30,30,30
T0648,30,30,30
T0649,30,30,30
T0650,30,30,30
T0651,30,30,30
T0652,30,30,30
T0653,30,30,30
T0654,30,30,30
T0655,30,30,30
T0656,30,30,30
T0657,30,30,30
T0658,30,30,30
T0659,30,30,30
T0660,30,30,30
T0661,30,30,30
T0662,30,30,30
T0663,30,30,30
T0664,30,30,30
T0665,30,30,30
T0666,30,30,30
T0667,30,30,30
T0668,30,30,30
T0669,30,30,30
T0670,30,30,30
T0671,30,30,30
T0672,30,30,30
T0673,30,30,30
T0674,30,30,30
T0675,30,30,30
T0676,30,30,30
T0677,30,30,30
T0678,30,30,30
T0679,30,30,30
T0680,30,30,30
T0681,30,30,30
T0682,30,30,30
T0683,30,30,30
T0684,30,30,30
T0685,30,30,30
T0686,30,30,30
T0687,30,30,30
T0688,30,30,30
T0689,30,30,30
T0690,30,30,30
T0691,30,30,30
T0692,30,30,30
T0693,30,30,30
T0694,30,30,30
T0695,30,30,30
T0696,30,30,30
T0697,30,30,30
T0698,30,30,30
T0699,30,30,30
T0700,30,30,30
T0701,30,30,30
T0702,30,30,30
T0703,30,30,30
T0704,30,30,30
T0705,30,30,30
T0706,30,30,30
T0707,30,30,30
T0708,30,30,30
T0709,30,30,30
T0710,30,30,30
T0711,30,30,30
T0712,30,30,30
T0713,30,30,30
T0714,30,30,30
T0715,30,30,30
T0716,30,30,30
T0717,30,30,30
T0718,30,30,30
T0719,30,30,30
T0720,30,30,30
T0721,30,30,30
T0722,30,30,30
T0723,30,30,30
T0724,30,30,30
T0725,30,30,30
T0726,30,30,30
T0727,30,30,30
T0728,30,30,30
T0729,30,30,30
T0730,30,30,30
T0731,30,30,30
T0732,30,30,30
T0733,30,30,30
T0734,30,30,30
T0735,30,30,30
T0736,30,30,30
T0737,30,30,30
T0738,30,30,30
T0739,30,30,30
